# a	b	kn_cost  (trigram-backed, kappa=1000.0, d=0.75)
BOS	ひどかっ	11562
BOS	ひどく	9365
BOS	ひなた	13171
BOS	ひなび	13171
BOS	ひもじい	13171
BOS	ひょう	13171
BOS	ひょっと	9128
BOS	ひよこ	13170
BOS	ひより	13171
BOS	ひろし	13171
BOS	ひろみ	11562
BOS	ひんぱん	13171
BOS	びん	13170
BOS	ぴったり	13169
BOS	ふいご	13171
BOS	ふくれっ面	13171
BOS	ふた	13169
BOS	ふたり	11562
BOS	ふつう	13170
BOS	ふふ	11562
BOS	ふふっ	13171
BOS	ふるっ	11562
BOS	ぶつくさ	13171
BOS	ぶつぶつ	13170
BOS	ぶどう	9458
BOS	ぶどう酒	10606
BOS	ぶらぶら	13170
BOS	へい	11560
BOS	へぇー	13171
BOS	へえ	13171
BOS	へえー	13171
BOS	べ	10338
BOS	ほうっ	13171
BOS	ほうれん草	13171
BOS	ほか	8597
BOS	ほしかっ	11562
BOS	ほっそり	13170
BOS	ほとほと	13171
BOS	ほとんど	7261
BOS	ほど	13080
BOS	ほどほど	10974
BOS	ほのか	13171
BOS	ほぼ	10606
BOS	ほら	8881
BOS	ほろ酔い	13171
BOS	ほんと	11562
BOS	ほんとう	11562
BOS	ほんの	9128
BOS	ほ乳	13171
BOS	ぼく	7464
BOS	ぼろ	13170
BOS	ぼんやり	11561
BOS	ぽかぽか	13171
BOS	ま	7810
BOS	まあ	9061
BOS	まあち	13171
BOS	まあまあ	13170
BOS	まさお	13171
BOS	まさか	9128
BOS	まさに	9201
BOS	まじめ	13169
BOS	ますます	10974
BOS	まず	7909
BOS	また	7250
BOS	またい	10974
BOS	またまた	13171
BOS	まだ	7425
BOS	まだまだ	13170
BOS	まちがっ	11562
BOS	まっ	13163
BOS	まっすぐ	10606
BOS	まったく	9458
BOS	まとめ	11561
BOS	まとめる	13170
BOS	まとも	10606
BOS	まぶた	13171
BOS	まま母	13171
BOS	まるで	8997
BOS	まわり	13171
BOS	まんまと	13171
BOS	みさ	13171
BOS	みじめ	13170
BOS	みつばち	13171
BOS	みて	13165
BOS	みどり	11562
BOS	みな	10606
BOS	みなさ	9804
BOS	みんな	6537
BOS	むこう	10974
BOS	むしろ	10606
BOS	むだ	13167
BOS	むりやり	13171
BOS	むろん	13171
BOS	めいめい	13171
BOS	めがね	11562
BOS	めっきり	13171
BOS	めった	13169
BOS	めんどり	13171
BOS	も	11504
BOS	も〜	13171
BOS	もう	5446
BOS	もうけ	13169
BOS	もうし	13170
BOS	もうす	7229
BOS	もうそ	9675
BOS	もごもご	13171
BOS	もし	5700
BOS	もしもし	9561
BOS	もしよ	9675
BOS	もちろん	8518
BOS	もっと	6947
BOS	もっとい	10606
BOS	もっとも	11561
BOS	もと	10127
BOS	もともと	13171
BOS	もどっ	13170
BOS	もの	9058
BOS	ものごと	13171
BOS	もはや	9675
BOS	もらう	13166
BOS	もー	13171
BOS	や	13064
BOS	やあ	10127
BOS	やがて	8777
BOS	やけど	11562
BOS	やさし	13171
BOS	やさしい	13163
BOS	やせる	13171
BOS	やっ	8682
BOS	やった	13157
BOS	やっと	8195
BOS	やっぱり	10127
BOS	やつ	9458
BOS	やつれ	13170
BOS	やぶへび	13171
BOS	やむ	13169
BOS	やめ	10338
BOS	やめる	11561
BOS	やめろ	13169
BOS	やら	11560
BOS	やり	9952
BOS	やりくり	13170
BOS	やり方	13162
BOS	やり残し	13171
BOS	やり過ぎ	11562
BOS	やる	8729
BOS	やる気	10974
BOS	やれ	13165
BOS	やれやれ	13171
BOS	やろう	13167
BOS	ゆうべ	10127
BOS	ゆっくり	8597
BOS	ゆったり	13170
BOS	ゆり	11562
BOS	ゆりかご	10606
BOS	よい	7829
BOS	ようこそ	10974
BOS	ようする	13171
BOS	ようやく	9561
BOS	よかっ	9365
BOS	よかれ	13171
BOS	よき	13170
BOS	よく	7218
BOS	よけい	11562
BOS	よけれ	10974
BOS	よし	10974
BOS	よせ	13171
BOS	よそ行き	11562
BOS	よっ	11561
BOS	より	9557
BOS	よろしい	10974
BOS	よろしかっ	10974
BOS	よろしく	10606
BOS	りんご	9365
BOS	ろいろ	13168
BOS	ろうそく	10338
BOS	わぁ	13171
BOS	わあ	13171
BOS	わあわあ	13171
BOS	わかっ	9804
BOS	わから	10126
BOS	わかり	10973
BOS	わが	9365
BOS	わがまま	13169
BOS	わが家	10974
BOS	わが社	11562
BOS	わき腹	13171
BOS	わけ	13140
BOS	わざわざ	9365
BOS	わずか	11561
BOS	わたくし	13171
BOS	わたし	7038
BOS	わたしたち	9128
BOS	わたし達	13171
BOS	わたる	11562
BOS	わめく	13171
BOS	わら	13169
BOS	わるい	13171
BOS	われ	13162
BOS	われわれ	7316
BOS	アイスクリーム	13169
BOS	アイスランド	11562
BOS	アイドル	13171
BOS	アイリーン	11562
BOS	アイルランド	11562
BOS	アインシュタイン	11562
BOS	アキナ	13171
BOS	アキラ	10607
BOS	アクション	13171
BOS	アザラシ	11562
BOS	アシカ	13171
BOS	アジア	9953
BOS	アスピリン	10974
BOS	アダム	10607
BOS	アッシュ	11562
BOS	アトピー	13171
BOS	アトランタ	10974
BOS	アドバイス	13167
BOS	アドレス帳	13171
BOS	アナウンサー	10974
BOS	アナグマ	11562
BOS	アニー	11562
BOS	アパート	11561
BOS	アヒル	13171
BOS	アフリカ	10338
BOS	アブミ	11562
BOS	アブラハム	11562
BOS	アメリカ	6971
BOS	アメリカ人	8937
BOS	アメリカ合衆国	13170
BOS	アメリカ英語	11562
BOS	アメリカ軍	13171
BOS	アラスカ	11562
BOS	アラビア	10338
BOS	アラン	11562
BOS	アリ	11562
BOS	アリス	9953
BOS	アリバイ	13170
BOS	アルク	13171
BOS	アルコール	13168
BOS	アルバイト	11561
BOS	アルバート	11562
BOS	アルフォンス	11562
BOS	アルプス	10974
BOS	アレックス	11562
BOS	アレルギー	13169
BOS	アレン	11562
BOS	アン	8556
BOS	アンソニー	13171
BOS	アンタ	13171
BOS	アンディ	11562
BOS	アート	11562
BOS	アーノルド	11562
BOS	イエス	10974
BOS	イギリス	9128
BOS	イギリス人	9804
BOS	イサオ	11562
BOS	イス	11562
BOS	イソップ	11562
BOS	イタリア	10338
BOS	イタリー	11562
BOS	イチゴ	10974
BOS	イチロー	11562
BOS	イブ	11562
BOS	イベント	10974
BOS	イヤ	13170
BOS	イヤホン	11562
BOS	インカ	10606
BOS	インク	9952
BOS	イングランド	11562
BOS	インシュリン	13171
BOS	インターネット	9365
BOS	インテル	11562
BOS	インディアン	10606
BOS	インド	9675
BOS	インフルエンザ	10606
BOS	インフレ	10338
BOS	インプット	11562
BOS	イージス	13171
BOS	イースター	11562
BOS	イースターエッグ	11562
BOS	ウィリアム	11562
BOS	ウィルソン	11562
BOS	ウィン	11562
BOS	ウィーン	13171
BOS	ウイスキー	11561
BOS	ウイリアムズ	11562
BOS	ウインク	13171
BOS	ウエイター	13171
BOS	ウエイトレス	13171
BOS	ウエスト	10127
BOS	ウエーター	13171
BOS	ウオール	11562
BOS	ウサギ	11562
BOS	ウチ	13171
BOS	ウッ	13171
BOS	ウッド	10974
BOS	ウラ	13171
BOS	ウラニウム	11562
BOS	ウン	13171
BOS	ウー	13171
BOS	ウール	13171
BOS	エアコン	9365
BOS	エアポートバス	11562
BOS	エアロビクス	11562
BOS	エイズ	11562
BOS	エイミー	13171
BOS	エクアドル	11562
BOS	エコノミー	13171
BOS	エコロジー	13171
BOS	エジソン	11562
BOS	エジプト	10606
BOS	エステ	11562
BOS	エックス線	11562
BOS	エネルギー	11561
BOS	エプロン	13171
BOS	エベレスト	11562
BOS	エミ	10607
BOS	エミリー	9561
BOS	エミー	11562
BOS	エメット	10127
BOS	エルモア	11562
BOS	エレクトロニクス	13171
BOS	エレベータ	13171
BOS	エレベーター	13170
BOS	エレン	10606
BOS	エンジン	8997
BOS	エンパイアステートビル	13171
BOS	オイ	13171
BOS	オウム	11562
BOS	オゾン層	13171
BOS	オタワ	11562
BOS	オバマ	10607
BOS	オフィス	13168
